year,des_region,num_entities_tot,num_entities_with_stat
2025,Emilia-Romagna,1357,915
2025,Veneto,1697,1119
2025,Abruzzo,728,348
2025,Valle d'Aosta/Vallée d'Aoste,172,116
2025,Toscana,1205,745
2025,Lazio,1864,948
2025,Friuli-Venezia Giulia,584,377
2025,Campania,1976,1089
2025,Provincia autonoma di Trento,503,228
2025,Sicilia,1858,965
2025,Calabria,974,512
2025,Umbria,354,214
2025,Piemonte,2317,1338
2025,Basilicata,352,180
2025,Puglia,1264,710
2025,Lombardia,3394,2357
2025,Marche,701,432
2025,Sardegna,932,527
2025,Liguria,624,306
2025,Provincia autonoma di Bolzano,495,159
2025,Molise,288,149
