anno,des_regione,num_enti_tot,num_enti_con_dich
2024,Sardegna,925,521
2024,Toscana,1200,646
2024,Provincia autonoma di Trento,509,225
2024,Lazio,1839,883
2024,Abruzzo,728,351
2024,Basilicata,354,169
2024,Valle d'Aosta/Vallée d'Aoste,169,109
2024,Molise,290,99
2024,Calabria,972,500
2024,Provincia autonoma di Bolzano,494,184
2024,Umbria,354,188
2024,Marche,703,394
2024,Veneto,1699,1040
2024,Campania,1965,1024
2024,Piemonte,2313,1370
2024,Friuli-Venezia Giulia,584,350
2024,Sicilia,1857,909
2024,Emilia-Romagna,1343,774
2024,Liguria,624,286
2024,Lombardia,3394,2110
2024,Puglia,1263,691
