tipologia_ente,regione,num_siti,data_monitoraggio
Istituti di Istruzione Statale di Ogni Ordine e Grado,Valle d'Aosta/Vallée d'Aoste,31,2023-06-30
Comuni e loro Consorzi e Associazioni,Valle d'Aosta/Vallée d'Aoste,65,2023-06-30
Comuni e loro Consorzi e Associazioni,Liguria,207,2023-06-30
Altre tipologie di Enti,Friuli-Venezia Giulia,171,2023-06-30
Comuni e loro Consorzi e Associazioni,Piemonte,986,2023-06-30
Altre tipologie di Enti,Liguria,121,2023-06-30
Comuni e loro Consorzi e Associazioni,Molise,122,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,462,2023-06-30
Altre tipologie di Enti,Valle d'Aosta/Vallée d'Aoste,53,2023-06-30
Altre tipologie di Enti,Abruzzo,149,2023-06-30
Comuni e loro Consorzi e Associazioni,Basilicata,94,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,538,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Toscana,331,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,367,2023-06-30
Altre tipologie di Enti,Provincia autonoma di Bolzano,118,2023-06-30
Altre tipologie di Enti,Basilicata,57,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Veneto,487,2023-06-30
Altre tipologie di Enti,Puglia,203,2023-06-30
Altre tipologie di Enti,Lazio,884,2023-06-30
Comuni e loro Consorzi e Associazioni,Emilia-Romagna,287,2023-06-30
Altre tipologie di Enti,Provincia autonoma di Trento,182,2023-06-30
Altre tipologie di Enti,Sicilia,317,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,198,2023-06-30
Comuni e loro Consorzi e Associazioni,Veneto,595,2023-06-30
Altre tipologie di Enti,Molise,48,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Sicilia,426,2023-06-30
Comuni e loro Consorzi e Associazioni,Provincia autonoma di Bolzano,61,2023-06-30
Altre tipologie di Enti,Calabria,131,2023-06-30
Comuni e loro Consorzi e Associazioni,Calabria,300,2023-06-30
Comuni e loro Consorzi e Associazioni,Abruzzo,262,2023-06-30
Comuni e loro Consorzi e Associazioni,Lombardia,1351,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,153,2023-06-30
Altre tipologie di Enti,Piemonte,548,2023-06-30
Altre tipologie di Enti,Lombardia,721,2023-06-30
Altre tipologie di Enti,Umbria,83,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Provincia autonoma di Trento,57,2023-06-30
Comuni e loro Consorzi e Associazioni,Toscana,275,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Basilicata,80,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Molise,38,2023-06-30
Altre tipologie di Enti,Veneto,377,2023-06-30
Comuni e loro Consorzi e Associazioni,Sicilia,295,2023-06-30
Altre tipologie di Enti,Sardegna,161,2023-06-30
Comuni e loro Consorzi e Associazioni,Lazio,311,2023-06-30
Comuni e loro Consorzi e Associazioni,Campania,463,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Puglia,464,2023-06-30
Comuni e loro Consorzi e Associazioni,Umbria,84,2023-06-30
Comuni e loro Consorzi e Associazioni,Provincia autonoma di Trento,164,2023-06-30
Altre tipologie di Enti,Campania,284,2023-06-30
Comuni e loro Consorzi e Associazioni,Marche,183,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Provincia autonoma di Bolzano,88,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli-Venezia Giulia,142,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Umbria,119,2023-06-30
Comuni e loro Consorzi e Associazioni,Puglia,232,2023-06-30
Altre tipologie di Enti,Toscana,276,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,942,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia-Romagna,436,2023-06-30
Comuni e loro Consorzi e Associazioni,Sardegna,338,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Sardegna,208,2023-06-30
Comuni e loro Consorzi e Associazioni,Friuli-Venezia Giulia,196,2023-06-30
Altre tipologie di Enti,Marche,159,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,308,2023-06-30
Istituti di Istruzione Statale di Ogni Ordine e Grado,Abruzzo,121,2023-06-30
Altre tipologie di Enti,Emilia-Romagna,353,2023-06-30
