ipa_category,region,num_websites,last_monitoring_date
State educational institutions of all levels,Friuli-Venezia Giulia,168,2023-12-31
Other types of organizations,Lombardia,1238,2023-12-31
State educational institutions of all levels,Marche,236,2023-12-31
Municipalities and their consortia and associations,Molise,116,2023-12-31
Municipalities and their consortia and associations,Basilicata,106,2023-12-31
Municipalities and their consortia and associations,Provincia autonoma di Trento,164,2023-12-31
State educational institutions of all levels,Provincia autonoma di Bolzano,97,2023-12-31
Other types of organizations,Marche,232,2023-12-31
Municipalities and their consortia and associations,Umbria,102,2023-12-31
Other types of organizations,Molise,71,2023-12-31
Municipalities and their consortia and associations,Campania,499,2023-12-31
Municipalities and their consortia and associations,Provincia autonoma di Bolzano,141,2023-12-31
Other types of organizations,Campania,385,2023-12-31
State educational institutions of all levels,Valle d'Aosta/Vallée d'Aoste,24,2023-12-31
Other types of organizations,Provincia autonoma di Bolzano,185,2023-12-31
State educational institutions of all levels,Calabria,331,2023-12-31
Municipalities and their consortia and associations,Piemonte,1074,2023-12-31
State educational institutions of all levels,Puglia,659,2023-12-31
Municipalities and their consortia and associations,Valle d'Aosta/Vallée d'Aoste,70,2023-12-31
State educational institutions of all levels,Liguria,211,2023-12-31
Municipalities and their consortia and associations,Sicilia,361,2023-12-31
Municipalities and their consortia and associations,Marche,193,2023-12-31
Municipalities and their consortia and associations,Lombardia,1567,2023-12-31
Other types of organizations,Liguria,158,2023-12-31
Other types of organizations,Provincia autonoma di Trento,287,2023-12-31
Other types of organizations,Sicilia,538,2023-12-31
State educational institutions of all levels,Abruzzo,205,2023-12-31
State educational institutions of all levels,Sardegna,223,2023-12-31
Municipalities and their consortia and associations,Abruzzo,311,2023-12-31
State educational institutions of all levels,Piemonte,593,2023-12-31
State educational institutions of all levels,Veneto,596,2023-12-31
Municipalities and their consortia and associations,Puglia,261,2023-12-31
Other types of organizations,Lazio,1167,2023-12-31
State educational institutions of all levels,Campania,1027,2023-12-31
Municipalities and their consortia and associations,Veneto,618,2023-12-31
Other types of organizations,Calabria,173,2023-12-31
Municipalities and their consortia and associations,Calabria,359,2023-12-31
State educational institutions of all levels,Provincia autonoma di Trento,66,2023-12-31
Other types of organizations,Valle d'Aosta/Vallée d'Aoste,83,2023-12-31
Other types of organizations,Toscana,433,2023-12-31
State educational institutions of all levels,Lazio,727,2023-12-31
Other types of organizations,Friuli-Venezia Giulia,232,2023-12-31
Other types of organizations,Piemonte,681,2023-12-31
State educational institutions of all levels,Emilia-Romagna,552,2023-12-31
Municipalities and their consortia and associations,Toscana,406,2023-12-31
Municipalities and their consortia and associations,Sardegna,381,2023-12-31
State educational institutions of all levels,Toscana,481,2023-12-31
State educational institutions of all levels,Sicilia,847,2023-12-31
State educational institutions of all levels,Molise,50,2023-12-31
State educational institutions of all levels,Umbria,133,2023-12-31
Other types of organizations,Umbria,109,2023-12-31
Other types of organizations,Puglia,330,2023-12-31
State educational institutions of all levels,Basilicata,124,2023-12-31
Municipalities and their consortia and associations,Lazio,358,2023-12-31
Other types of organizations,Emilia-Romagna,566,2023-12-31
Other types of organizations,Sardegna,239,2023-12-31
Municipalities and their consortia and associations,Emilia-Romagna,408,2023-12-31
State educational institutions of all levels,Lombardia,1153,2023-12-31
Other types of organizations,Abruzzo,204,2023-12-31
Municipalities and their consortia and associations,Friuli-Venezia Giulia,245,2023-12-31
Other types of organizations,Veneto,497,2023-12-31
Municipalities and their consortia and associations,Liguria,255,2023-12-31
Other types of organizations,Basilicata,85,2023-12-31
