categoria_ipa,regione,num_siti,data_ultimo_monitoraggio
Altre tipologie di Enti,Abruzzo,235,2024-03-31
Altre tipologie di Enti,Basilicata,96,2024-03-31
Altre tipologie di Enti,Calabria,209,2024-03-31
Altre tipologie di Enti,Campania,433,2024-03-31
Altre tipologie di Enti,Emilia-Romagna,627,2024-03-31
Altre tipologie di Enti,Friuli-Venezia Giulia,277,2024-03-31
Altre tipologie di Enti,Lazio,1630,2024-03-31
Altre tipologie di Enti,Liguria,184,2024-03-31
Altre tipologie di Enti,Lombardia,1364,2024-03-31
Altre tipologie di Enti,Marche,249,2024-03-31
Altre tipologie di Enti,Molise,74,2024-03-31
Altre tipologie di Enti,Piemonte,749,2024-03-31
Altre tipologie di Enti,Provincia autonoma di Bolzano,195,2024-03-31
Altre tipologie di Enti,Provincia autonoma di Trento,296,2024-03-31
Altre tipologie di Enti,Puglia,390,2024-03-31
Altre tipologie di Enti,Sardegna,261,2024-03-31
Altre tipologie di Enti,Sicilia,597,2024-03-31
Altre tipologie di Enti,Toscana,487,2024-03-31
Altre tipologie di Enti,Umbria,124,2024-03-31
Altre tipologie di Enti,Valle d'Aosta/Vallée d'Aoste,88,2024-03-31
Altre tipologie di Enti,Veneto,601,2024-03-31
Comuni e loro Consorzi e Associazioni,Abruzzo,340,2024-03-31
Comuni e loro Consorzi e Associazioni,Basilicata,127,2024-03-31
Comuni e loro Consorzi e Associazioni,Calabria,408,2024-03-31
Comuni e loro Consorzi e Associazioni,Campania,555,2024-03-31
Comuni e loro Consorzi e Associazioni,Emilia-Romagna,480,2024-03-31
Comuni e loro Consorzi e Associazioni,Friuli-Venezia Giulia,265,2024-03-31
Comuni e loro Consorzi e Associazioni,Lazio,394,2024-03-31
Comuni e loro Consorzi e Associazioni,Liguria,295,2024-03-31
Comuni e loro Consorzi e Associazioni,Lombardia,1712,2024-03-31
Comuni e loro Consorzi e Associazioni,Marche,215,2024-03-31
Comuni e loro Consorzi e Associazioni,Molise,132,2024-03-31
Comuni e loro Consorzi e Associazioni,Piemonte,1274,2024-03-31
Comuni e loro Consorzi e Associazioni,Provincia autonoma di Bolzano,156,2024-03-31
Comuni e loro Consorzi e Associazioni,Provincia autonoma di Trento,172,2024-03-31
Comuni e loro Consorzi e Associazioni,Puglia,296,2024-03-31
Comuni e loro Consorzi e Associazioni,Sardegna,417,2024-03-31
Comuni e loro Consorzi e Associazioni,Sicilia,423,2024-03-31
Comuni e loro Consorzi e Associazioni,Toscana,455,2024-03-31
Comuni e loro Consorzi e Associazioni,Umbria,110,2024-03-31
Comuni e loro Consorzi e Associazioni,Valle d'Aosta/Vallée d'Aoste,81,2024-03-31
Comuni e loro Consorzi e Associazioni,Veneto,772,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Abruzzo,214,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Basilicata,133,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Calabria,342,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Campania,1074,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Emilia-Romagna,569,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Friuli-Venezia Giulia,170,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Lazio,735,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Liguria,217,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,1180,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,238,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Molise,54,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,624,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Provincia autonoma di Bolzano,101,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Provincia autonoma di Trento,68,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Puglia,688,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Sardegna,269,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Sicilia,901,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Toscana,516,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Umbria,138,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Valle d'Aosta/Vallée d'Aoste,28,2024-03-31
Istituti di Istruzione Statale di Ogni Ordine e Grado,Veneto,608,2024-03-31
