anno,des_regione,num_enti_tot,num_enti_obiettivi
2023,Provincia autonoma di Bolzano,489,108
2023,Umbria,347,144
2023,Provincia autonoma di Trento,499,141
2023,Toscana,1164,560
2023,Piemonte,2239,1009
2023,Campania,1904,953
2023,Molise,286,113
2023,Friuli-Venezia Giulia,572,342
2023,Emilia-Romagna,1297,764
2023,Veneto,1654,924
2023,Liguria,606,279
2023,Marche,683,360
2023,Lazio,1720,736
2023,Calabria,984,423
2023,Sardegna,905,534
2023,Abruzzo,702,252
2023,Sicilia,1812,779
2023,Basilicata,354,145
2023,Valle d'Aosta/Vallée d'Aoste,163,80
2023,Lombardia,3298,1928
2023,Puglia,1204,651
