year,des_region,num_entities_tot,num_entities_objectives
2024,Lombardia,3394,2110
2024,Basilicata,354,160
2024,Abruzzo,728,262
2024,Sardegna,926,482
2024,Provincia autonoma di Bolzano,494,105
2024,Piemonte,2313,1094
2024,Campania,1969,1072
2024,Calabria,972,435
2024,Molise,290,93
2024,Lazio,1839,792
2024,Valle d'Aosta/Vallée d'Aoste,169,54
2024,Provincia autonoma di Trento,509,203
2024,Marche,701,355
2024,Puglia,1264,717
2024,Toscana,1200,613
2024,Liguria,624,293
2024,Friuli-Venezia Giulia,584,366
2024,Emilia-Romagna,1343,786
2024,Umbria,354,169
2024,Sicilia,1862,852
2024,Veneto,1698,997
