anno,des_regione,num_enti_tot,num_enti_obiettivi
2024,Calabria,973,435
2024,Puglia,1262,724
2024,Emilia-Romagna,1346,790
2024,Toscana,1204,621
2024,Valle d'Aosta/Vallée d'Aoste,172,54
2024,Lombardia,3393,2131
2024,Sicilia,1864,863
2024,Veneto,1699,1016
2024,Marche,700,358
2024,Abruzzo,728,263
2024,Molise,290,94
2024,Friuli-Venezia Giulia,585,368
2024,Umbria,354,171
2024,Campania,1961,1076
2024,Basilicata,354,164
2024,Liguria,623,297
2024,Piemonte,2316,1104
2024,Sardegna,928,492
2024,Lazio,1845,801
2024,Provincia autonoma di Bolzano,495,106
2024,Provincia autonoma di Trento,509,205
